id;company_name;recruiters_name;h_rwhatsapp_number;contact_email;building_name;city;area;recieve_applications_from
1;Electronics RSS;Principal;64370;Research;metrics Virginia Concrete;Barrettside;Loan Jewelery hardware;EntireIndia
2;optical;cutting-edge Music;52613;hack CSS;Product matrix;Port Theaburgh;compressing markets eyeballs;EntireCity
3;enable;Carolina Key;17570;Solutions Account;Analyst;Gibsonhaven;SAS;EntireIndia
4;object-oriented;Awesome contextually-based Assistant;2484;Quality Fresh Camp;Division;Schneiderberg;Computers;EntireCity
5;Hat;Baby invoice;6320;bus firmware Dakota;Ergonomic Chair;Mansfield;Eritrea;EntireCity
6;envisioneer Bacon;Awesome Customer;55881;end-to-end Markets Marketing;Hawaii Awesome;Merrittshire;alarm Concrete Grocery;EntireCity
7;bricks-and-clicks Administrator;Cheese analyzing;87728;Identity Fantastic Cambridgeshire;Producer Electronics;Larkinport;indigo;EntireIndia
8;Oregon Virtual;hack Land;93575;Stream;Hat models;New Stephaniaton;Rubber Clothing;EntireIndia
9;Maryland;FTP Metal Fresh;36226;clear-thinking;Points;Allen;transition;EntireIndia
10;static;application National Metal;35262;Refined;invoice;Fremont;Consultant;EntireCity
